z,w_de_median,w_de_lower_95,w_de_upper_95,hubble_median,hubble_lower_95,hubble_upper_95
0.000000,-0.929358,-0.832914,-0.515387,0.962238,0.975611,1.023302
0.025253,-0.939166,-0.847662,-0.550533,0.986980,0.997817,1.040431
0.050505,-0.948501,-0.861272,-0.589806,1.009842,1.020521,1.056931
0.075758,-0.957399,-0.873008,-0.626723,1.032960,1.042086,1.075600
0.101010,-0.965888,-0.885911,-0.659992,1.054213,1.062235,1.092790
0.126263,-0.973996,-0.897243,-0.687861,1.075190,1.081810,1.111711
0.151515,-0.981749,-0.909017,-0.714231,1.093996,1.102475,1.128758
0.176768,-0.989170,-0.922376,-0.741653,1.115001,1.121737,1.147644
0.202020,-0.996278,-0.933339,-0.761929,1.134513,1.141079,1.166451
0.227273,-1.003094,-0.945355,-0.782592,1.152735,1.159626,1.185281
0.252525,-1.009635,-0.954775,-0.806728,1.171174,1.178647,1.203437
0.277778,-1.015917,-0.966217,-0.825433,1.189842,1.197742,1.222664
0.303030,-1.021956,-0.979417,-0.843362,1.208747,1.216064,1.241036
0.328283,-1.034066,-0.996633,-0.862018,1.227269,1.234378,1.259357
0.353535,-1.046567,-1.006283,-0.879277,1.246039,1.252967,1.278205
0.378788,-1.058611,-1.022508,-0.893912,1.265132,1.271653,1.297129
0.404040,-1.073018,-1.038543,-0.907853,1.284408,1.290832,1.316080
0.429293,-1.087421,-1.050754,-0.919890,1.303979,1.310305,1.335078
0.454545,-1.107818,-1.066797,-0.929819,1.323891,1.330347,1.354156
0.479798,-1.127339,-1.082344,-0.939294,1.344142,1.350804,1.373343
0.505051,-1.144231,-1.096615,-0.952172,1.364379,1.370527,1.392886
0.530303,-1.160565,-1.111898,-0.962483,1.384287,1.390763,1.413115
0.555556,-1.177195,-1.125956,-0.968992,1.404725,1.411678,1.433682
0.580808,-1.196129,-1.139564,-0.973549,1.425405,1.432468,1.454404
0.606061,-1.214468,-1.154669,-0.981398,1.447389,1.453113,1.475708
0.631313,-1.232239,-1.167790,-0.987312,1.468061,1.474317,1.496453
